Date,Open,High,Low,Close
22-Feb-21,35874.3,36128.9,35097.55,35257.2
19-Feb-21,36371.55,36656.2,35584.6,35841.6
18-Feb-21,37088.75,37108.75,36367.45,36587
17-Feb-21,37041.95,37331.45,36764.25,36910.95
16-Feb-21,37492.6,37708.75,36762.75,37098.4
15-Feb-21,36501.4,37449.9,36405.1,37306.25
12-Feb-21,35736.6,36322.8,35700.25,36108.9
11-Feb-21,35687.25,36009.45,35573.3,35752.1
10-Feb-21,36042.35,36227.2,35428.15,35783.1
09-Feb-21,36058.8,36477.15,35636.85,36056.5
08-Feb-21,36073.85,36466.45,35872.25,35983.65
05-Feb-21,35634.95,36615.2,35545,35654.5
04-Feb-21,34548.9,35413.15,34238.9,35344.8
03-Feb-21,34555.6,34908.05,34011.9,34758.45
02-Feb-21,33589.05,34652.5,33583.15,34267.9
01-Feb-21,30976.35,33305.3,30906.45,33089.05
29-Jan-21,30700.65,31111.95,30254.55,30565.5
28-Jan-21,29812.3,30464.4,29687.7,30358.3
27-Jan-21,31236.25,31287.05,30165.65,30284.55
25-Jan-21,31507.15,31697.55,31013.65,31198.4
22-Jan-21,32088,32131.4,31119.9,31167.25
21-Jan-21,32732.8,32842.3,31985.55,32186.9
20-Jan-21,32388.95,32607.45,32322.9,32543.7
19-Jan-21,32082.9,32464.95,31863.95,32424.85
18-Jan-21,32275.15,32441.5,31650.9,31811.75
15-Jan-21,32508.9,32544.8,32044.35,32246.8
14-Jan-21,32526.7,32718.95,32442.35,32519.75
13-Jan-21,32546.6,32683.5,32148.25,32574.65
12-Jan-21,31835.05,32397.95,31725.85,32339
11-Jan-21,32280.3,32288.45,31836.95,31998.9
08-Jan-21,32298.05,32298.05,32002.95,32084.2
07-Jan-21,32129.8,32177.4,31911.5,31956
06-Jan-21,31839.95,31982.3,31548.15,31797.9
05-Jan-21,31041.1,31767.65,30935.55,31722.25
04-Jan-21,31485.15,31489.6,30893.65,31212.45
01-Jan-21,31297.3,31384.35,31188.25,31225.85
31-Dec-20,31295.9,31409.5,31088.1,31264.05
30-Dec-20,31479.8,31510.25,31007.15,31303.05
29-Dec-20,31006.9,31359.35,31002.6,31322.5
28-Dec-20,30558.85,30929.05,30538.15,30880.95
24-Dec-20,30071.65,30545.85,30007.8,30402.2
23-Dec-20,29560.75,29941.4,29446,29883.3
22-Dec-20,29607.5,29711.15,28976.75,29625.95
21-Dec-20,30595.8,30607.5,29201.2,29456.45
18-Dec-20,30841.85,30854.05,30374.5,30714.65
17-Dec-20,30791.2,30945.2,30643.9,30847.05
16-Dec-20,30920.35,30932.25,30587.1,30698.4
15-Dec-20,30805.4,30805.85,30345.75,30691.05
14-Dec-20,30735.15,30845.8,30624.25,30745.9
11-Dec-20,30555.3,30811.8,30328.45,30604.85
10-Dec-20,30545.35,30610,30202.1,30510.35
09-Dec-20,30335.05,30807.25,30326.7,30709.4
08-Dec-20,30300.3,30363.8,30025.2,30261.9
07-Dec-20,30062.6,30354.2,29950.6,30211.55
04-Dec-20,29573.4,30162.3,29473.5,30052.4
03-Dec-20,29728.9,29813,29379.4,29448.75
02-Dec-20,29876.7,29886.25,29149.9,29463.15
01-Dec-20,29844.8,29919.75,29511,29817.85
27-Nov-20,29622,29716.85,29368.7,29609.05
26-Nov-20,29370.4,29623,28923.1,29549.75
25-Nov-20,30021.9,30197.85,29132.3,29196.4
24-Nov-20,29265.6,29827.8,29206.75,29737.25
23-Nov-20,29432.8,29492.3,28852.9,29024.2
20-Nov-20,28935.75,29406.7,28580.9,29236
19-Nov-20,29302.6,29627.2,28819.55,28903.05
18-Nov-20,29107.9,29784.75,29056.75,29749.85
17-Nov-20,28792.25,29239.25,28722.9,29181.3
14-Nov-20,28685.7,28752.45,28431.85,28594.3
13-Nov-20,28108.7,28520.55,27703.3,28465.7
12-Nov-20,28633.75,28672.9,28066.05,28278.8
11-Nov-20,28713.15,29030.9,28211.1,28845
10-Nov-20,28039.45,28802.5,27916.9,28606
09-Nov-20,27088.95,27595,27068.95,27534.1
06-Nov-20,26274.1,26853.45,26135.3,26798.95
05-Nov-20,26174.8,26375.2,26000.05,26313.1
04-Nov-20,25539.55,25891,25142,25771.6
03-Nov-20,25108,25760.7,25085.7,25682.8
02-Nov-20,24367.6,25139,24120.6,24892.5
30-Oct-20,24090.15,24277.35,23612.7,23900.9
29-Oct-20,24063.5,24339.1,23822.05,24092
28-Oct-20,24737.85,24780.7,24057.95,24232.5
27-Oct-20,24288.05,24809.65,23924.2,24769.5
26-Oct-20,24525.8,24577.3,23867.75,24075.45
23-Oct-20,24669.2,24764.15,24360.85,24478.3
22-Oct-20,24447.35,24691.15,24250.2,24484.15
21-Oct-20,24444.2,24823.6,24099.85,24635.05
20-Oct-20,24117.35,24410.9,24039.85,24311.8
19-Oct-20,23902.9,24320.95,23754.85,24266.75
16-Oct-20,23219.85,23646.2,23148.95,23533.25
15-Oct-20,23920.35,24087.85,22970.95,23072.4
14-Oct-20,23353.15,23962.7,23149.45,23874.65
13-Oct-20,23663.05,23775.15,23431.5,23492.2
12-Oct-20,23955.6,24190.35,23552.6,23712.8
09-Oct-20,23312.6,23904.1,23132.45,23846.8
08-Oct-20,23150.25,23450.9,23063.6,23191.35
07-Oct-20,22836.95,23036.2,22607.8,22964.8
06-Oct-20,22673.05,22893.5,22521.05,22853.7
05-Oct-20,22352.1,22768.55,22247.25,22370.95
01-Oct-20,21685.25,22293.75,21664.15,22246
30-Sep-20,21405.25,21549.35,21128.5,21451.8
29-Sep-20,21770.9,21811.5,21280.6,21411.3
28-Sep-20,21152.05,21708.85,21055.1,21665.5
25-Sep-20,20740.8,21064.3,20430.7,20982.35
24-Sep-20,20898.8,20955.6,20404.9,20456.85
23-Sep-20,21350.8,21365.05,20821,21178.5
22-Sep-20,21445.25,21473.35,20958.45,21139.1
21-Sep-20,21983.4,22098.85,21274.3,21366.8
18-Sep-20,22439.35,22469.4,21784.9,22031.05
17-Sep-20,22352,22504.45,22267.05,22320.35
16-Sep-20,22476.3,22659.4,22216.5,22573.55
15-Sep-20,22202.8,22514.15,22062.35,22465.65
14-Sep-20,22683.35,22757.3,22028.15,22101.25
11-Sep-20,22509.95,22668.75,22205.95,22479.95
10-Sep-20,22466.55,22678.65,22225.25,22466.2
09-Sep-20,22486.7,22554.6,22080.4,22267
08-Sep-20,22971.2,23064.15,22641.4,22744.4
07-Sep-20,23036.25,23109.1,22716.25,22945.05
